pageId,priority,launchBlocking,category,title,workType,sourceLocale,sourcePath,referencePaths,targetPathCandidate,targetPathStatus,copyDigest,implementationDigest,requiresLinguisticReview,requiresSeoReview,requiresRegulatoryClaimsReview,requiresLegalReview,requiresCommercialReview,externalContentDependency,notes
de-home,P0,true,commercial,German home page,translate-seo-adapt,en-US,/,/no,/de,candidate-not-frozen-until-de-wave-2,33cd3228a48ab7b51ef16f9b5865601697019724f3277c0d9e197349c108bf20,dcd7b597caf7b5decb29694b8db5ce0b25aece09355fe3525b317825e681e588,true,true,true,false,true,,Translate and adapt the full German value proposition; do not reuse disease-treatment language.
de-product,P0,true,commercial,German product page,translate-seo-adapt,en-US,/product,/no/produkt,/de/produkt,candidate-not-frozen-until-de-wave-2,9e637e2894ce57cd090ad1c0da4a561637b6c61aca0a1cca394671314c61ced6,1284774b823daafeffd0eac5cd040d5af9c4751d4aa3b2ee3c83c1c25ef5f5bc,true,true,true,false,true,,The legacy /no/product route is a redirect and is excluded from the concept registry.
de-shop,P0,true,commercial,German shop / launch-access page,translate-seo-adapt,en-US,/shop,,/de/shop,candidate-not-frozen-until-de-wave-2,92c7c6a49b22df04197703ee8b3a9672d5ccc263dcb1e781e18fa6e75c0b6d8b,bda3b8be2c504a9c7094461fa1edf7e8c3970c375a6bb323f90e4f60c98617a8,true,true,true,false,true,,Contains stronger benefit language than several other pages; claims review is mandatory before translation.
de-app,P0,true,commercial,German app page,translate-seo-adapt,en-US,/app,/no/app,/de/app,candidate-not-frozen-until-de-wave-2,21c69a3e6e4b1b1c82e738456fc797d51997af6072703d9ecf40429b96962c36,f998c648dd65aef510779b0d6dc4c8c0c8287c4c8c1e044140727441465fb290,true,true,true,false,true,,
de-how-it-works,P0,true,commercial,How Neuvago works,translate-seo-adapt,en-US,/how-it-works,/no/slik-fungerer-det,/de/so-funktioniert-neuvago,candidate-not-frozen-until-de-wave-2,9dcf55ed03be6f5b3eb4ee0332dd9099eacf0309e5d1deb28fda92cd8875ece8,91b92a14b46696c29db849c4bb55ceafe2d4646e25549bf1d9b183f0ce7f833d,true,true,true,false,true,,The Norwegian counterpart was misclassified as P2 by the automated heuristic; corrected to P0.
de-how-to-use,P0,true,support-safety,How to use Neuvago,translate-seo-adapt,en-US,/how-to-use,,/de/anwendung,candidate-not-frozen-until-de-wave-2,28eb70a5af7aa1357663ce5505c6153f18bc091db08042777ebd90b970d696b9,28eb70a5af7aa1357663ce5505c6153f18bc091db08042777ebd90b970d696b9,true,true,true,false,true,,"Current English page lacks page-level metadata, canonical and hreflang; repair before/with German implementation."
de-about,P0,true,trust-support,About Neuvago,translate-seo-adapt,en-US,/about,/no/om-oss,/de/ueber-uns,candidate-not-frozen-until-de-wave-2,c26609b9e22f58bd736be866f48f06e473d76511365bcd6613e5e38aea39903c,4fe5e27e7940457dd2da71d3277e4adca43f2abf4fae7f4f448690ce7c8c0bbe,true,true,true,false,false,Supabase page_content row for the about page may override Git content,Export and freeze the effective production CMS value before translation.
de-support,P0,true,trust-support,German support hub,translate-seo-adapt,en-US,/support,/no/support,/de/support,candidate-not-frozen-until-de-wave-2,4f624c44996090297696e32b7e143f9fb80fb5606439f0a18ec14647144ecd6d,58866a331378e7d34626759cea8c5530901c60ee68a0be1147e60c8283165a70,true,true,false,false,false,Supabase page_content row for the support page may override Git content,Export and freeze the effective production CMS value before translation.
de-legal-hub,P0,true,legal-regulatory,Legal and compliance hub,legal-market-adaptation,en-US,/legal,/no/juridisk,/de/rechtliches,candidate-not-frozen-until-de-wave-2,d2deabbd551426f634b5cf698772395a541b8a0a9b4b779cbc1fdf4b10609009,d2deabbd551426f634b5cf698772395a541b8a0a9b4b779cbc1fdf4b10609009,true,true,false,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
de-intended-use,P0,true,legal-regulatory,Intended use,legal-market-adaptation,en-US,/legal/intended-use,/no/juridisk/tiltenkt-bruk,/de/rechtliches/vorgesehene-verwendung,candidate-not-frozen-until-de-wave-2,8f56a3aafa3e539e982c044e731c22aca5dab177f57cadaab78ff64c8358ae43,8f56a3aafa3e539e982c044e731c22aca5dab177f57cadaab78ff64c8358ae43,true,true,true,true,false,,Do not publish as a literal translation; adapt to the German market and obtain legal review.
