priority,stage,url,primary_query_family,secondary_queries,intent,preferred_role,conversion_path,kpi,action_trigger,next_action
P0,Learn,/learn/vagus-nerve,"what is the vagus nerve","vagus nerve stress sleep recovery",informational,"Foundation explainer","/learn/vagus-nerve-stimulation -> /how-it-works",impressions and query fit,"Wrong VNS queries land here","Strengthen link to VNS pillar"
P0,Learn,/learn/vagus-nerve-stimulation,"vagus nerve stimulation","VNS how it works types",informational category,"Broad VNS plain-language pillar","/learn/non-invasive-vagus-nerve-stimulation -> /research/topics/vagus-nerve-stimulation -> /how-it-works",impressions position CTR,"Position 8-20 or weak CTR","Refine title/meta and evidence boundaries"
P0,Learn,/learn/non-invasive-vagus-nerve-stimulation,"non-invasive vagus nerve stimulation","non-invasive VNS nVNS device",commercial education,"Non-invasive category explainer","/how-it-works -> /product",impressions commercial queries,"Device/stimulator queries land elsewhere","Strengthen product bridge and device wording"
P1,Learn,/learn/auricular-vagus-nerve-stimulation,"auricular vagus nerve stimulation","taVNS ear vagus nerve stimulation",method education,"Ear-based VNS explainer","/research/topics/transcutaneous-vagus-nerve-stimulation -> /how-it-works",impressions method queries,"taVNS queries go to research only","Clarify ear-based plain-language sections"
P1,Learn,/learn/transcutaneous-vagus-nerve-stimulation,"transcutaneous vagus nerve stimulation","tVNS taVNS stimulation through skin",method education,"Plain-language tVNS explainer","/research/topics/transcutaneous-vagus-nerve-stimulation -> /research/topics/safety-and-tolerability",impressions method queries,"Learn vs Research cannibalization","Separate simple explanation from research detail"
P0,Research,/research/topics/vagus-nerve-stimulation,"vagus nerve stimulation research","does VNS work VNS evidence",research evidence,"Evidence overview","/learn/vagus-nerve-stimulation -> /research/topics/safety-and-tolerability -> /how-it-works",impressions evidence queries,"Does-it-work queries have weak CTR","Add stronger evidence/limits answer block"
P0,Research,/research/topics/transcutaneous-vagus-nerve-stimulation,"tVNS research","transcutaneous VNS taVNS research",research method,"Method and research detail","/learn/transcutaneous-vagus-nerve-stimulation -> /research/topics/safety-and-tolerability",impressions method/evidence queries,"Plain-language queries land here","Link up to Learn tVNS page"
P0,Research,/research/topics/safety-and-tolerability,"VNS safety","side effects contraindications tVNS safety",trust safety,"Safety and boundaries hub","/legal/intended-use -> /legal/medical-disclaimer -> /product",indexed safety queries,"Safety queries land on product","Strengthen safety page and product links"
P0,Research,/research/topics/autonomic-regulation,"autonomic regulation","ANS parasympathetic sympathetic HRV stress",research physiology,"Physiology bridge","/learn/nervous-system-regulation -> /conditions/stress -> /conditions/sleep",impressions physiology queries,"Stress/sleep queries mismatch","Improve condition bridges"
P1,Research,/research/topics/heart-rate-variability,"HRV and autonomic regulation","heart rate variability nervous system regulation",research measurement,"Measurement interpretation layer","/research/topics/autonomic-regulation -> /conditions/sleep",impressions HRV queries,"HRV queries lack VNS connection","Add HRV-VNS interpretation boundary"
P0,Condition,/conditions/stress,"nervous system regulation for stress","vagus nerve stimulation for stress stress regulation",condition intent,"Stress problem page","/research/topics/autonomic-regulation -> /how-it-works -> /app",impressions condition queries,"Stress queries go to Learn pages","Strengthen stress page and internal links"
P0,Condition,/conditions/sleep,"nervous system regulation for sleep","sleep HRV autonomic regulation evening routine",condition intent,"Sleep problem page","/research/topics/heart-rate-variability -> /how-it-works -> /app",impressions condition queries,"Sleep queries weak CTR","Improve evening routine and HRV bridge"
P0,Commercial,/product,"vagus nerve stimulator","non-invasive vagus nerve stimulator VNS device",commercial,"Product/category page","/how-it-works -> /app",commercial impressions clicks,"Device queries do not trigger product","Strengthen product title/copy and links"
P0,Commercial,/how-it-works,"how to use a vagus nerve stimulator","vagus nerve stimulation device how it works",commercial practical,"Mechanics and routine page","/product -> /app",commercial impressions clicks,"How-to queries land on Learn page","Strengthen how-it-works linking and intro"
P1,Commercial,/app,"app guided vagus nerve stimulation","guided VNS sessions app routine",commercial support,"Routine/adherence page","/product -> /how-it-works",app clicks,"Authority traffic reaches app but drops","Clarify app as routine layer"
