route,locale,routeKind,section,indexability,sourceFile,originalPriority,finalDisposition,conceptId,conceptRole,reason
/,en-US,build-exact,home,indexable-candidate,src/app/(en)/page.tsx,P0,P0_SOURCE,de-home,source,Source route for locked P0 concept de-home
/about,en-US,build-exact,trust-support,indexable-candidate,src/app/(en)/about/page.tsx,P0,P0_SOURCE,de-about,source,Source route for locked P0 concept de-about
/account,en-US,build-exact,private-app,private-route,src/app/(en)/account/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/activity,en-US,build-exact,private-app,private-route,src/app/(en)/account/activity/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/library,en-US,build-exact,private-app,private-route,src/app/(en)/account/library/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/preferences,en-US,build-exact,private-app,private-route,src/app/(en)/account/preferences/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/profile,en-US,build-exact,private-app,private-route,src/app/(en)/account/profile/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/progress,en-US,build-exact,private-app,private-route,src/app/(en)/account/progress/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/security,en-US,build-exact,private-app,private-route,src/app/(en)/account/security/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/session-player/[slug],en-US,source-dynamic-pattern,private-app,private-route,src/app/(en)/account/session-player/[slug]/page.tsx,EXCLUDE,TEMPLATE_INFRASTRUCTURE,,,Dynamic route template; exact generated pages are classified separately
/account/sessions,en-US,build-exact,private-app,private-route,src/app/(en)/account/sessions/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/account/sessions/[slug],en-US,source-dynamic-pattern,private-app,private-route,src/app/(en)/account/sessions/[slug]/page.tsx,EXCLUDE,TEMPLATE_INFRASTRUCTURE,,,Dynamic route template; exact generated pages are classified separately
/account/today,en-US,build-exact,private-app,private-route,src/app/(en)/account/today/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin,en-US,build-exact,private-app,private-route,src/app/(en)/admin/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin/pages,en-US,build-exact,private-app,private-route,src/app/(en)/admin/pages/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin/pages/about,en-US,build-exact,trust-support,private-route,src/app/(en)/admin/pages/about/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin/pages/app,en-US,build-exact,commercial,private-route,src/app/(en)/admin/pages/app/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin/pages/homepage,en-US,build-exact,private-app,private-route,src/app/(en)/admin/pages/homepage/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin/pages/how-it-works,en-US,build-exact,commercial,private-route,src/app/(en)/admin/pages/how-it-works/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin/pages/product,en-US,build-exact,commercial,private-route,src/app/(en)/admin/pages/product/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/admin/pages/support,en-US,build-exact,trust-support,private-route,src/app/(en)/admin/pages/support/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/api/launch-list,en-US,build-exact-unmapped,private-app,private-route,,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/api/shopify/cart,en-US,build-exact-unmapped,private-app,private-route,,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/api/shopify/status,en-US,build-exact-unmapped,private-app,private-route,,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/app,en-US,build-exact,commercial,indexable-candidate,src/app/(en)/app/page.tsx,P0,P0_SOURCE,de-app,source,Source route for locked P0 concept de-app
/conditions,en-US,build-exact,conditions,indexable-candidate,src/app/(en)/conditions/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/conditions/anxiety,en-US,build-exact,conditions,indexable-candidate,src/app/(en)/conditions/anxiety/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/conditions/burnout,en-US,build-exact,conditions,indexable-candidate,src/app/(en)/conditions/burnout/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/conditions/sleep,en-US,build-exact,conditions,indexable-candidate,src/app/(en)/conditions/sleep/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/conditions/stress,en-US,build-exact,conditions,indexable-candidate,src/app/(en)/conditions/stress/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/continue,en-US,build-exact,private-app,private-route,src/app/(en)/continue/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/get-started,en-US,build-exact,commercial,indexable-candidate,src/app/(en)/get-started/page.tsx,P0,DE_HOLD_PRIVATE_JOURNEY,,,Leads to English-only signup/login account journey
/glossary,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/page.tsx,P2,P1_SOURCE,de-glossary-hub,source,Source route for locked P1 concept de-glossary-hub
/glossary/[slug],en-US,source-dynamic-pattern,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,TEMPLATE_INFRASTRUCTURE,,,Dynamic route template; exact generated pages are classified separately
/glossary/adverse-event,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/auricular-branch-of-the-vagus-nerve,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/auricular-vagus-nerve-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/autonomic-nervous-system,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/cavum-conchae,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/certainty-of-evidence,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/cervical-non-invasive-vagus-nerve-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/contraindication,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/cymba-conchae,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/duty-cycle,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/earlobe,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/electrode,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/heart-rate-variability,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/implanted-vagus-nerve-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/intended-use,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P0,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/meta-analysis,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/non-invasive-vagus-nerve-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P1_SOURCE,de-glossary-non-invasive-vns,source,Source route for locked P1 concept de-glossary-non-invasive-vns
/glossary/parasympathetic-nervous-system,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/precaution,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/pulse-width,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/randomized-controlled-trial,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/serious-adverse-event,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/session-duration,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/sham-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/stimulation-frequency,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/stimulation-intensity,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/stimulation-site,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/sympathetic-nervous-system,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/systematic-review,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/target-engagement,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/tolerability,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/tragus,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/transcutaneous-auricular-vagus-nerve-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P1_SOURCE,de-glossary-tavns,source,Source route for locked P1 concept de-glossary-tavns
/glossary/transcutaneous-vagus-nerve-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/vagal-tone,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/glossary/vagus-nerve,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P1_SOURCE,de-glossary-vagus-nerve,source,Source route for locked P1 concept de-glossary-vagus-nerve
/glossary/vagus-nerve-stimulation,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P1_SOURCE,de-glossary-vns,source,Source route for locked P1 concept de-glossary-vns
/glossary/waveform,en-US,build-exact,glossary,indexable-candidate,src/app/(en)/glossary/[slug]/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/how-it-works,en-US,build-exact,commercial,indexable-candidate,src/app/(en)/how-it-works/page.tsx,P0,P0_SOURCE,de-how-it-works,source,Source route for locked P0 concept de-how-it-works
/how-to-use,en-US,build-exact,commercial,indexable-candidate,src/app/(en)/how-to-use/page.tsx,P0,P0_SOURCE,de-how-to-use,source,Source route for locked P0 concept de-how-to-use
/learn,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/page.tsx,P1,P1_SOURCE,de-learn-hub,source,Source route for locked P1 concept de-learn-hub
/learn/auricular-vagus-nerve-stimulation,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/auricular-vagus-nerve-stimulation/page.tsx,P1,P1_SOURCE,de-auricular-vns,source,Source route for locked P1 concept de-auricular-vns
/learn/ear-vs-neck-vagus-nerve-stimulation,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/ear-vs-neck-vagus-nerve-stimulation/page.tsx,P1,P1_SOURCE,de-ear-vs-neck-vns,source,Source route for locked P1 concept de-ear-vs-neck-vns
/learn/emotional-regulation-and-the-nervous-system,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/emotional-regulation-and-the-nervous-system/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/fight-flight-freeze,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/fight-flight-freeze/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/how-to-calm-your-nervous-system,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/how-to-calm-your-nervous-system/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/how-to-choose-a-vagus-nerve-stimulation-device,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/how-to-choose-a-vagus-nerve-stimulation-device/page.tsx,P1,P1_SOURCE,de-choose-vns-device,source,Source route for locked P1 concept de-choose-vns-device
/learn/nervous-system-regulation,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/nervous-system-regulation/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/non-invasive-vagus-nerve-stimulation,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/non-invasive-vagus-nerve-stimulation/page.tsx,P1,P1_SOURCE,de-non-invasive-vns,source,Source route for locked P1 concept de-non-invasive-vns
/learn/parasympathetic-nervous-system,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/parasympathetic-nervous-system/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/recovery-and-regulation,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/recovery-and-regulation/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/signs-of-a-dysregulated-nervous-system,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/signs-of-a-dysregulated-nervous-system/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/transcutaneous-vagus-nerve-stimulation,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/transcutaneous-vagus-nerve-stimulation/page.tsx,P1,P1_SOURCE,de-transcutaneous-vns,source,Source route for locked P1 concept de-transcutaneous-vns
/learn/vagal-tone,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/vagal-tone/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/vagus-nerve,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/vagus-nerve/page.tsx,P1,P1_SOURCE,de-vagus-nerve,source,Source route for locked P1 concept de-vagus-nerve
/learn/vagus-nerve-stimulation,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/vagus-nerve-stimulation/page.tsx,P1,P1_SOURCE,de-vagus-nerve-stimulation,source,Source route for locked P1 concept de-vagus-nerve-stimulation
/learn/what-nervous-system-regulation-feels-like,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/what-nervous-system-regulation-feels-like/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/why-you-feel-tired-but-cant-relax,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/why-you-feel-tired-but-cant-relax/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/learn/why-your-body-feels-stuck-in-stress,en-US,build-exact,knowledge,indexable-candidate,src/app/(en)/learn/why-your-body-feels-stuck-in-stress/page.tsx,P2,P2_QUEUE,,,Public exact route retained for post-launch German prioritization
/legal,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/page.tsx,P0,P0_SOURCE,de-legal-hub,source,Source route for locked P0 concept de-legal-hub
/legal/ce-compliance,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/ce-compliance/page.tsx,P0,P0_SOURCE,de-ce-compliance,source,Source route for locked P0 concept de-ce-compliance
/legal/fda-status,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/fda-status/page.tsx,P0,DE_HOLD_MARKET_SPECIFIC,,,US/FDA-specific content; not part of Germany launch
/legal/intended-use,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/intended-use/page.tsx,P0,P0_SOURCE,de-intended-use,source,Source route for locked P0 concept de-intended-use
/legal/medical-disclaimer,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/medical-disclaimer/page.tsx,P0,P0_SOURCE,de-medical-disclaimer,source,Source route for locked P0 concept de-medical-disclaimer
/legal/privacy-policy,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/privacy-policy/page.tsx,P0,P0_SOURCE,de-privacy,source,Source route for locked P0 concept de-privacy
/legal/regulatory,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/regulatory/page.tsx,P0,P0_SOURCE,de-regulatory-information,source,Source route for locked P0 concept de-regulatory-information
/legal/terms-of-service,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/terms-of-service/page.tsx,P0,P0_SOURCE,de-terms,source,Source route for locked P0 concept de-terms
/legal/trust-safety,en-US,build-exact,legal-regulatory,indexable-candidate,src/app/(en)/legal/trust-safety/page.tsx,P0,P0_SOURCE,de-trust-safety,source,Source route for locked P0 concept de-trust-safety
/login,en-US,build-exact,private-app,private-route,src/app/(en)/login/page.tsx,EXCLUDE,EXCLUDE_PRIVATE_OR_TECHNICAL,,,"Private, account, API or technical route outside public German launch"
/no,nb-NO,build-exact,home,indexable-candidate,src/app/(no)/no/page.tsx,P0,P0_REFERENCE,de-home,reference,Reference route for locked P0 concept de-home
/no/app,nb-NO,build-exact,commercial,indexable-candidate,src/app/(no)/no/app/page.tsx,P0,P0_REFERENCE,de-app,reference,Reference route for locked P0 concept de-app
/no/forskning,nb-NO,build-exact,research,indexable-candidate,src/app/(no)/no/forskning/page.tsx,P1,P1_REFERENCE,de-research-hub,reference,Reference route for locked P1 concept de-research-hub
/no/forskning/[slug],nb-NO,source-dynamic-pattern,research,indexable-candidate,src/app/(no)/no/forskning/[slug]/page.tsx,P2,TEMPLATE_INFRASTRUCTURE,,,Dynamic route template; exact generated pages are classified separately
/no/forskning/aurikulaer-vagusnervestimulering,nb-NO,build-exact,research,indexable-candidate,src/app/(no)/no/forskning/[slug]/page.tsx,P2,P1_REFERENCE,de-research-auricular-vns,reference,Reference route for locked P1 concept de-research-auricular-vns
/no/forskning/sikkerhet-og-tolerabilitet,nb-NO,build-exact,research,indexable-candidate,src/app/(no)/no/forskning/[slug]/page.tsx,P2,P1_REFERENCE,de-research-safety,reference,Reference route for locked P1 concept de-research-safety
/no/forskning/transkutan-vagusnervestimulering,nb-NO,build-exact,research,indexable-candidate,src/app/(no)/no/forskning/[slug]/page.tsx,P2,P1_REFERENCE,de-research-tvns,reference,Reference route for locked P1 concept de-research-tvns
/no/forskning/vagusnervestimulering,nb-NO,build-exact,research,indexable-candidate,src/app/(no)/no/forskning/[slug]/page.tsx,P2,P1_REFERENCE,de-research-vns,reference,Reference route for locked P1 concept de-research-vns
/no/juridisk,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/page.tsx,P0,P0_REFERENCE,de-legal-hub,reference,Reference route for locked P0 concept de-legal-hub
/no/juridisk/ce-samsvar,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/ce-samsvar/page.tsx,P0,P0_REFERENCE,de-ce-compliance,reference,Reference route for locked P0 concept de-ce-compliance
/no/juridisk/fda-status,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/fda-status/page.tsx,P0,DE_HOLD_MARKET_SPECIFIC,,,US/FDA-specific content; not part of Germany launch
/no/juridisk/medisinsk-ansvarsfraskrivelse,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/medisinsk-ansvarsfraskrivelse/page.tsx,P0,P0_REFERENCE,de-medical-disclaimer,reference,Reference route for locked P0 concept de-medical-disclaimer
/no/juridisk/personvern,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/personvern/page.tsx,P0,P0_REFERENCE,de-privacy,reference,Reference route for locked P0 concept de-privacy
/no/juridisk/regulatorisk,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/regulatorisk/page.tsx,P0,P0_REFERENCE,de-regulatory-information,reference,Reference route for locked P0 concept de-regulatory-information
/no/juridisk/tillit-og-sikkerhet,nb-NO,build-exact,legal-regulatory,indexable-candidate,src/app/(no)/no/juridisk/tillit-og-sikkerhet/page.tsx,P0,P0_REFERENCE,de-trust-safety,reference,Reference route for locked P0 concept de-trust-safety
