claim_id,category,scope,claim_text_or_pattern,permitted_use,evidence_level,source_of_truth,owner_role,risk,status,review_frequency,notes
CLM-EVID-001,METHOD_EVIDENCE,site-wide,"External VNS/taVNS research is scientific context, not automatically Neuvago-specific product evidence.",REQUIRED_BOUNDARY,A-D depending source,docs/trust/claim-governance-v1.md,Editorial + scientific owner,VERY_HIGH,GOVERNANCE_LOCKED,quarterly,Never transfer outcomes across devices/modalities.
CLM-EVID-002,METHOD_EVIDENCE,research/learn,"Evidence statements retain intervention, site, protocol, population and outcome.",REQUIRED_BOUNDARY,B/C/D,source article + study record,Editorial + scientific owner,VERY_HIGH,GOVERNANCE_LOCKED,per update,Modalities are not interchangeable.
CLM-PHYS-001,GENERAL_PHYSIOLOGY,learn/research,A mechanism or association is not proof of clinical benefit or product effect.,REQUIRED_BOUNDARY,A-D,source article,Editorial + scientific owner,HIGH,GOVERNANCE_LOCKED,per update,No mechanism-to-outcome transfer.
CLM-REG-001,REGULATORY,site-wide,General wellness product positioning.,FACT_GATED,controlled fact,docs/trust/regulatory-fact-register-v1.csv,Regulatory / claims owner,VERY_HIGH,OWNER_CONFIRMATION_REQUIRED,on material change,Do not treat existing copy as independent validation.
CLM-REG-002,REGULATORY,site-wide,Not a medical device classification/marketing statement.,FACT_GATED,controlled fact,docs/trust/regulatory-fact-register-v1.csv,Regulatory / claims owner,CRITICAL,OWNER_CONFIRMATION_REQUIRED,on material change,Market-specific classification.
CLM-REG-003,REGULATORY,US,FDA status statement.,FACT_GATED,official + controlled fact,docs/trust/regulatory-fact-register-v1.csv,Regulatory / claims owner,CRITICAL,OWNER_CONFIRMATION_REQUIRED,on material change,Exact US status only.
CLM-REG-004,REGULATORY,EU/EEA,Do not assert achieved CE conformity/marking unless controlled fact record is VERIFIED.,REQUIRED_BOUNDARY,official/controlled fact,docs/trust/regulatory-fact-register-v1.csv,Regulatory / claims owner,CRITICAL,FACT_GATED,on material change,Educational CE content is not product-status proof.
CLM-INT-001,PRODUCT_INTENDED_USE,site-wide,"Intended-use wording about relaxation, stress support and nervous-system awareness.",FACT_GATED,controlled product documentation,docs/trust/regulatory-fact-register-v1.csv,Product + regulatory owner,VERY_HIGH,OWNER_CONFIRMATION_REQUIRED,on material change,Synchronize site/manual/packaging.
CLM-PROD-001,PRODUCT_FACT,site-wide,Neuvago uses non-invasive ear-based electrical stimulation.,FACT_GATED,controlled product documentation,current user manual / product docs,Product owner,HIGH,DOC_VERIFICATION_REQUIRED,on material change,Do not expand into clinical benefit.
CLM-SAFE-001,SAFETY,product/support,"Warnings, contraindications, precautions and stop rules match current controlled product instructions.",REQUIRED_BOUNDARY,controlled product documentation,current user manual / instructions,Safety + regulatory owner,CRITICAL,FACT_GATED,on material change,Website cannot outrun instructions.
CLM-COMP-001,COMMERCIAL_COMPARISON,compare/buyer guides,"Competitor comparisons require dated sources, methodology, provenance and Neuvago disclosure.",REQUIRED_BOUNDARY,current controlled sources,comparison methodology,Editorial + commercial claims owner,VERY_HIGH,POST_LAUNCH_GATE,quarterly,No comparison publication before fact lock.
CLM-AI-001,EDITORIAL_PROCESS,site-wide,AI output is not an authoritative source or medical/scientific/legal/regulatory approval.,REQUIRED_BOUNDARY,n/a,/legal/editorial-policy,Editorial owner,HIGH,GOVERNANCE_LOCKED,annual,Human responsibility remains.
